iso_code,continent,location,date,total_cases,total_deaths
ZAF,Africa,South Africa,2020/08/26,615701,13502
ZAF,Africa,South Africa,2020/08/27,618286,13628
ZAF,Africa,South Africa,2020/08/28,620132,13743
ZAF,Africa,South Africa,2020/08/29,622551,13981
ZAF,Africa,South Africa,2020/08/30,625056,14028
ZAF,Africa,South Africa,2020/08/31,627041,14149
ZAF,Africa,South Africa,2020/09/01,628259,14263
ZAF,Africa,South Africa,2020/09/02,630595,14389
ZAF,Africa,South Africa,2020/09/03,633015,14563
ZAF,Africa,South Africa,2020/09/04,635078,14678
ZAF,Africa,South Africa,2020/09/05,636884,14779
ZAF,Africa,South Africa,2020/09/06,638517,14889
ZAF,Africa,South Africa,2020/09/07,639362,15004
ZAF,Africa,South Africa,2020/09/08,640441,15086
ZAF,Africa,South Africa,2020/09/09,642431,15168
ZAF,Africa,South Africa,2020/09/10,644438,15265
ZAF,Africa,South Africa,2020/09/11,646398,15378
ZAF,Africa,South Africa,2020/09/12,648214,15427
ZAF,Africa,South Africa,2020/09/13,649793,15447
ZAF,Africa,South Africa,2020/09/14,650749,15499
ZAF,Africa,South Africa,2020/09/15,651521,15641
ZAF,Africa,South Africa,2020/09/16,653444,15705
ZAF,Africa,South Africa,2020/09/17,655572,15772
ZAF,Africa,South Africa,2020/09/18,657627,15857
ZAF,Africa,South Africa,2020/09/19,659656,15940
ZAF,Africa,South Africa,2020/09/20,661211,15953
ZAF,Africa,South Africa,2020/09/21,661936,15992
ZAF,Africa,South Africa,2020/09/22,663282,16118
ZAF,Africa,South Africa,2020/09/23,665188,16206
ZAF,Africa,South Africa,2020/09/24,667049,16283
ZAF,Africa,South Africa,2020/09/25,668529,16312
ZAF,Africa,South Africa,2020/09/26,669498,16376
ZAF,Africa,South Africa,2020/09/27,670766,16398
ZAF,Africa,South Africa,2020/09/28,671669,16586
ZAF,Africa,South Africa,2020/09/29,672572,16667
ZAF,Africa,South Africa,2020/09/30,674339,16734
ZAF,Africa,South Africa,2020/10/01,676084,16866
ZAF,Africa,South Africa,2020/10/02,677833,16909
ZAF,Africa,South Africa,2020/10/03,679716,16938
ZAF,Africa,South Africa,2020/10/04,681289,16976
ZAF,Africa,South Africa,2020/10/05,682215,17016
ZAF,Africa,South Africa,2020/10/06,683242,17103
ZAF,Africa,South Africa,2020/10/07,685155,17248
ZAF,Africa,South Africa,2020/10/08,686891,17408
ZAF,Africa,South Africa,2020/10/09,688352,17547
ZAF,Africa,South Africa,2020/10/10,690896,17673
ZAF,Africa,South Africa,2020/10/11,692471,17780
ZAF,Africa,South Africa,2020/10/12,693359,17863
ZAF,Africa,South Africa,2020/10/13,694537,18028
ZAF,Africa,South Africa,2020/10/14,696414,18151
ZAF,Africa,South Africa,2020/10/15,698184,18309
ZAF,Africa,South Africa,2020/10/16,700203,18370
ZAF,Africa,South Africa,2020/10/17,702131,18408
ZAF,Africa,South Africa,2020/10/18,703793,18471
ZAF,Africa,South Africa,2020/10/19,705254,18492
ZAF,Africa,South Africa,2020/10/20,706304,18656
ZAF,Africa,South Africa,2020/10/21,708359,18741
ZAF,Africa,South Africa,2020/10/22,710515,18843
ZAF,Africa,South Africa,2020/10/23,712412,18891
ZAF,Africa,South Africa,2020/10/24,714246,18944
ZAF,Africa,South Africa,2020/10/25,715868,18968
ZAF,Africa,South Africa,2020/10/26,716759,19008
ZAF,Africa,South Africa,2020/10/27,717851,19053
ZAF,Africa,South Africa,2020/10/28,719714,19111
ZAF,Africa,South Africa,2020/10/29,721770,19164
ZAF,Africa,South Africa,2020/10/30,723682,19230
ZAF,Africa,South Africa,2020/10/31,725452,19276
ZAF,Africa,South Africa,2020/11/01,726823,19411
ZAF,Africa,South Africa,2020/11/02,727595,19465
ZAF,Africa,South Africa,2020/11/03,728836,19539
ZAF,Africa,South Africa,2020/11/04,730548,19585
ZAF,Africa,South Africa,2020/11/05,732414,19677
ZAF,Africa,South Africa,2020/11/06,734175,19749
ZAF,Africa,South Africa,2020/11/07,735906,19789
ZAF,Africa,South Africa,2020/11/08,737278,19809
ZAF,Africa,South Africa,2020/11/09,738525,19845
ZAF,Africa,South Africa,2020/11/10,740254,19951
ZAF,Africa,South Africa,2020/11/11,742394,20011
ZAF,Africa,South Africa,2020/11/12,744732,20076
ZAF,Africa,South Africa,2020/11/13,746945,20153
ZAF,Africa,South Africa,2020/11/14,749182,20206
ZAF,Africa,South Africa,2020/11/15,751024,20241
ZAF,Africa,South Africa,2020/11/16,752269,20314
ZAF,Africa,South Africa,2020/11/17,754256,20432
ZAF,Africa,South Africa,2020/11/18,757144,20556
ZAF,Africa,South Africa,2020/11/19,759658,20671
ZAF,Africa,South Africa,2020/11/20,762763,20759
ZAF,Africa,South Africa,2020/11/21,765409,20845
ZAF,Africa,South Africa,2020/11/22,767679,20903
ZAF,Africa,South Africa,2020/11/23,769759,20968
ZAF,Africa,South Africa,2020/11/24,772252,21083
ZAF,Africa,South Africa,2020/11/25,775502,21201
ZAF,Africa,South Africa,2020/11/26,778571,21289
ZAF,Africa,South Africa,2020/11/27,781941,21378
ZAF,Africa,South Africa,2020/11/28,785139,21439
ZAF,Africa,South Africa,2020/11/29,787702,21477
ZAF,Africa,South Africa,2020/11/30,790004,21535
ZAF,Africa,South Africa,2020/12/01,792299,21644
ZAF,Africa,South Africa,2020/12/02,796472,21709
ZAF,Africa,South Africa,2020/12/03,800872,21803
ZAF,Africa,South Africa,2020/12/04,805804,21963
ZAF,Africa,South Africa,2020/12/05,810449,22067
ZAF,Africa,South Africa,2020/12/06,814565,22206
ZAF,Africa,South Africa,2020/12/07,817878,22249
ZAF,Africa,South Africa,2020/12/08,821889,22432
ZAF,Africa,South Africa,2020/12/09,828598,22574
ZAF,Africa,South Africa,2020/12/10,836764,22747
ZAF,Africa,South Africa,2020/12/11,845083,22952
ZAF,Africa,South Africa,2020/12/12,852965,23106
ZAF,Africa,South Africa,2020/12/13,860964,23276
ZAF,Africa,South Africa,2020/12/14,866127,23451
ZAF,Africa,South Africa,2020/12/15,873679,23661
ZAF,Africa,South Africa,2020/12/16,883687,23827
ZAF,Africa,South Africa,2020/12/17,892813,24011
ZAF,Africa,South Africa,2020/12/18,901538,24285
ZAF,Africa,South Africa,2020/12/19,912477,24539
ZAF,Africa,South Africa,2020/12/20,921922,24691
ZAF,Africa,South Africa,2020/12/21,930711,24907
ZAF,Africa,South Africa,2020/12/22,940212,25246
ZAF,Africa,South Africa,2020/12/23,954258,25657
ZAF,Africa,South Africa,2020/12/24,968563,25983
ZAF,Africa,South Africa,2020/12/25,983359,26276
ZAF,Africa,South Africa,2020/12/26,994911,26521
ZAF,Africa,South Africa,2020/12/27,1004413,26735
ZAF,Africa,South Africa,2020/12/28,1011871,27071
ZAF,Africa,South Africa,2020/12/29,1021451,27568
ZAF,Africa,South Africa,2020/12/30,1039161,28033
ZAF,Africa,South Africa,2020/12/31,1057161,28469
ZAF,Africa,South Africa,2021/01/01,1073887,28887
ZAF,Africa,South Africa,2021/01/02,1088889,29175
ZAF,Africa,South Africa,2021/01/03,1100748,29577
ZAF,Africa,South Africa,2021/01/04,1113349,30011
ZAF,Africa,South Africa,2021/01/05,1127759,30524
ZAF,Africa,South Africa,2021/01/06,1149591,31368
