"year";"nuts_code";"total_pop";"total_cities"
"800";"'ITG2";"3000";"5"
"800";"'ITH1+ITH2";"4000";"3"
"800";"'ITH3";"30000";"13"
"800";"'ITH4";"1000";"2"
"800";"'ITH5";"44000";"13"
"800";"'ITI1";"25000";"14"
"800";"'ITI2";"19000";"9"
"800";"'ITI3";"18000";"12"
"800";"'ITI4";"63000";"21"
"800";"'NL11";"0";"2"
"800";"'NL12";"1000";"5"
"800";"'NL13";"0";"2"
"800";"'NL21";"1000";"4"
"800";"'NL22";"5000";"9"
"800";"'NL23";"0";"1"
"800";"'NL31";"2000";"2"
"800";"'NL32";"0";"8"
"800";"'NL33";"0";"11"
"800";"'NL34";"1000";"4"
"800";"'NL41";"0";"7"
"800";"'NL42";"3000";"5"
"800";"'NO01";"0";"1"
"800";"'NO03";"0";"3"
"800";"'NO04";"0";"2"
"800";"'NO05";"0";"1"
"800";"'NO06";"0";"1"
"800";"'PT11";"19000";"10"
"800";"'PT15";"11000";"6"
"800";"'PT16";"13000";"13"
"800";"'PT17";"18000";"5"
"800";"'PT18";"10000";"12"
"800";"'PT30";"0";"1"
"800";"'SE11";"0";"1"
"800";"'SE12";"0";"5"
"800";"'SE21";"0";"3"
"800";"'SE22";"0";"3"
"800";"'SE23";"0";"1"
"800";"'SE31";"0";"2"
"800";"'SI02";"0";"1"
"800";"'UKC+UKD";"10000";"39"
"800";"'UKE";"7000";"14"
"800";"'UKF";"7000";"11"
"800";"'UKG";"6000";"26"
"800";"'UKH+UKJ";"23000";"37"
"800";"'UKI";"6000";"6"
"800";"'UKK";"7000";"15"
"800";"'UKL";"0";"2"
"800";"'UKM";"0";"11"
"800";"'UKM5";"0";"1"
"800";"'UKN";"5000";"5"
"900";"'AT11";"0";"1"
"900";"'AT123";"7000";"4"
"900";"'AT21";"0";"1"
"900";"'AT22";"0";"1"
"900";"'AT31";"3000";"5"
"900";"'AT32";"1000";"1"
"900";"'AT33";"2000";"2"
"900";"'AT34";"1000";"1"
"900";"'BE10+BE24+BE31";"4000";"8"
"900";"'BE21";"2000";"4"
"900";"'BE22";"4000";"3"
"900";"'BE23";"8000";"16"
"900";"'BE25";"11000";"17"
"900";"'BE32";"6000";"8"
"900";"'BE33";"6000";"5"
"900";"'BE34";"1000";"1"
"900";"'BE35";"3000";"2"
"900";"'CH01";"8000";"5"
"900";"'CH02";"3000";"6"
"900";"'CH03";"3000";"1"
"900";"'CH04";"3000";"2"
"900";"'CH05";"4000";"5"
"900";"'CH06";"1000";"2"
"900";"'CH07";"1000";"1"
"900";"'DE11";"5000";"8"
"900";"'DE12";"8000";"6"
"900";"'DE13";"3000";"4"
"900";"'DE14";"3000";"6"
"900";"'DE21";"3000";"4"
"900";"'DE22";"2000";"3"
"900";"'DE23";"5000";"2"
"900";"'DE24";"1000";"4"
"900";"'DE25";"0";"7"
"900";"'DE26";"3000";"3"
"900";"'DE27";"8000";"7"
"900";"'DE30";"0";"3"
"900";"'DE40";"1000";"7"
"900";"'DE50";"2000";"2"
"900";"'DE60";"1000";"1"
"900";"'DE712";"12000";"10"
"900";"'DE73";"2000";"3"
"900";"'DE80";"1000";"9"
"900";"'DE912";"4000";"12"
"900";"'DE93";"3000";"4"
"900";"'DE94";"6000";"6"
"900";"'DEA1";"5000";"22"
"900";"'DEA2";"16000";"11"
"900";"'DEA3";"3000";"8"
"900";"'DEA4";"4000";"5"
"900";"'DEA5";"5000";"10"
"900";"'DEB1";"7000";"4"
"900";"'DEB2";"7000";"2"
"900";"'DEB3";"11000";"9"
"900";"'DEC0";"2000";"2"
"900";"'DED2";"1000";"8"
"900";"'DED4";"0";"11"
"900";"'DED5";"2000";"4"
"900";"'DEE0";"12000";"18"
"900";"'DEF0";"4000";"11"
"900";"'DEG0";"7000";"12"
"900";"'DK01";"0";"2"
"900";"'DK02";"0";"1"
"900";"'DK03";"2000";"3"
"900";"'DK04";"1000";"3"
"900";"'DK05";"0";"1"
"900";"'ES11";"17000";"12"
"900";"'ES12";"5000";"4"
"900";"'ES13";"2000";"1"
"900";"'ES21";"4000";"4"
"900";"'ES22";"6000";"3"
"900";"'ES23";"8000";"4"
"900";"'ES24";"23000";"9"
"900";"'ES30";"3000";"10"
"900";"'ES41";"49000";"23"
"900";"'ES42";"47000";"33"
"900";"'ES43";"52000";"17"
"900";"'ES51";"28000";"21"
"900";"'ES52";"35000";"31"
"900";"'ES53";"9000";"5"
"900";"'ES61";"302000";"71"
"900";"'ES62";"22000";"11"
"900";"'ES70";"0";"4"
"900";"'FI19";"0";"3"
"900";"'FI1B";"0";"3"
"900";"'FI1C";"0";"2"
"900";"'FI1D";"0";"1"
"900";"'FR10";"19000";"13"
"900";"'FR21";"20000";"12"
"900";"'FR22";"20000";"9"
"900";"'FR23";"12000";"12"
"900";"'FR24";"34000";"19"
"900";"'FR25";"15000";"15"
"900";"'FR26";"27000";"16"
"900";"'FR30";"28000";"25"
"900";"'FR41";"16000";"12"
"900";"'FR42";"10000";"10"
"900";"'FR43";"10000";"10"
"900";"'FR51";"16000";"17"
"900";"'FR52";"14000";"13"
"900";"'FR53";"16000";"9"
"900";"'FR61";"28000";"19"
"900";"'FR62";"27000";"21"
"900";"'FR63";"6000";"6"
"900";"'FR71";"23000";"20"
"900";"'FR72";"15000";"13"
"900";"'FR81";"30000";"19"
"900";"'FR82";"40000";"26"
"900";"'FR83";"3000";"4"
"900";"'FRJ1";"0";"1"
"900";"'FRL0";"1000";"1"
"900";"'HR03";"2000";"2"
"900";"'IE0";"10000";"16"
"900";"'ITC1";"26000";"35"
"900";"'ITC2";"2000";"1"
"900";"'ITC3";"19000";"8"
"900";"'ITC4";"64000";"14"
"900";"'ITF1";"18000";"11"
"900";"'ITF2";"2000";"3"
"900";"'ITF3";"59000";"40"
"900";"'ITF4";"50000";"40"
"900";"'ITF5";"8000";"13"
"900";"'ITF6";"15000";"15"
"900";"'ITG1";"131000";"117"
"900";"'ITG2";"3000";"5"
"900";"'ITH1+ITH2";"4000";"3"
"900";"'ITH3";"41000";"13"
"900";"'ITH4";"1000";"2"
"900";"'ITH5";"55000";"13"
"900";"'ITI1";"35000";"14"
"900";"'ITI2";"21000";"9"
"900";"'ITI3";"23000";"12"
"900";"'ITI4";"65000";"21"
"900";"'NL11";"0";"2"
"900";"'NL12";"1000";"5"
"900";"'NL13";"0";"2"
"900";"'NL21";"2000";"4"
"900";"'NL22";"7000";"9"
"900";"'NL23";"0";"1"
"900";"'NL31";"2000";"2"
"900";"'NL32";"0";"8"
"900";"'NL33";"1000";"11"
"900";"'NL34";"1000";"4"
"900";"'NL41";"0";"7"
"900";"'NL42";"3000";"5"
"900";"'NO01";"0";"1"
"900";"'NO03";"0";"3"
"900";"'NO04";"0";"2"
"900";"'NO05";"0";"1"
"900";"'NO06";"0";"1"
"900";"'PT11";"22000";"10"
"900";"'PT15";"12000";"6"
"900";"'PT16";"16000";"13"
"900";"'PT17";"18000";"5"
"900";"'PT18";"11000";"12"
"900";"'PT30";"0";"1"
"900";"'SE11";"0";"1"
"900";"'SE12";"0";"5"
"900";"'SE21";"0";"3"
"900";"'SE22";"0";"3"
"900";"'SE23";"0";"1"
"900";"'SE31";"0";"2"
"900";"'SI02";"0";"1"
"900";"'UKC+UKD";"11000";"39"
"900";"'UKE";"10000";"14"
"900";"'UKF";"10000";"11"
"900";"'UKG";"10000";"26"
"900";"'UKH+UKJ";"25000";"37"
"900";"'UKI";"8000";"6"
"900";"'UKK";"9000";"15"
"900";"'UKL";"0";"2"
"900";"'UKM";"2000";"11"
"900";"'UKM5";"0";"1"
"900";"'UKN";"5000";"5"
"1000";"'AT11";"0";"1"
"1000";"'AT123";"10000";"4"
"1000";"'AT21";"0";"1"
"1000";"'AT22";"0";"1"
"1000";"'AT31";"4000";"5"
"1000";"'AT32";"2000";"1"
"1000";"'AT33";"3000";"2"
"1000";"'AT34";"1000";"1"
"1000";"'BE10+BE24+BE31";"9000";"8"
"1000";"'BE21";"4000";"4"
"1000";"'BE22";"7000";"3"
"1000";"'BE23";"16000";"16"
"1000";"'BE25";"15000";"17"
"1000";"'BE32";"8000";"8"
"1000";"'BE33";"9000";"5"
"1000";"'BE34";"1000";"1"
"1000";"'BE35";"4000";"2"
"1000";"'CH01";"8000";"5"
"1000";"'CH02";"4000";"6"
"1000";"'CH03";"3000";"1"
"1000";"'CH04";"4000";"2"
"1000";"'CH05";"6000";"5"
"1000";"'CH06";"2000";"2"
"1000";"'CH07";"1000";"1"
"1000";"'DE11";"8000";"8"
"1000";"'DE12";"8000";"6"
"1000";"'DE13";"4000";"4"
"1000";"'DE14";"5000";"6"
"1000";"'DE21";"5000";"4"
"1000";"'DE22";"3000";"3"
"1000";"'DE23";"7000";"2"
"1000";"'DE24";"2000";"4"
"1000";"'DE25";"4000";"7"
"1000";"'DE26";"2000";"3"
"1000";"'DE27";"12000";"7"
"1000";"'DE30";"1000";"3"
"1000";"'DE40";"3000";"7"
"1000";"'DE50";"4000";"2"
"1000";"'DE60";"2000";"1"
"1000";"'DE712";"15000";"10"
"1000";"'DE73";"3000";"3"
"1000";"'DE80";"2000";"9"
"1000";"'DE912";"9000";"12"
"1000";"'DE93";"5000";"4"
"1000";"'DE94";"9000";"6"
"1000";"'DEA1";"10000";"22"
"1000";"'DEA2";"24000";"11"
"1000";"'DEA3";"6000";"8"
"1000";"'DEA4";"6000";"5"
"1000";"'DEA5";"9000";"10"
"1000";"'DEB1";"7000";"4"
"1000";"'DEB2";"10000";"2"
"1000";"'DEB3";"14000";"9"
"1000";"'DEC0";"2000";"2"
"1000";"'DED2";"2000";"8"
"1000";"'DED4";"1000";"11"
"1000";"'DED5";"4000";"4"
"1000";"'DEE0";"23000";"18"
"1000";"'DEF0";"6000";"11"
"1000";"'DEG0";"13000";"12"
"1000";"'DK01";"1000";"2"
"1000";"'DK02";"2000";"1"
"1000";"'DK03";"2000";"3"
"1000";"'DK04";"2000";"3"
"1000";"'DK05";"0";"1"
"1000";"'ES11";"18000";"12"
"1000";"'ES12";"7000";"4"
"1000";"'ES13";"3000";"1"
"1000";"'ES21";"4000";"4"
"1000";"'ES22";"9000";"3"
"1000";"'ES23";"8000";"4"
"1000";"'ES24";"24000";"9"
"1000";"'ES30";"6000";"10"
"1000";"'ES41";"79000";"23"
"1000";"'ES42";"61000";"33"
"1000";"'ES43";"55000";"17"
"1000";"'ES51";"39000";"21"
"1000";"'ES52";"47000";"31"
"1000";"'ES53";"11000";"5"
"1000";"'ES61";"372000";"71"
"1000";"'ES62";"45000";"11"
"1000";"'ES70";"0";"4"
"1000";"'FI19";"0";"3"
"1000";"'FI1B";"0";"3"
"1000";"'FI1C";"0";"2"
"1000";"'FI1D";"0";"1"
"1000";"'FR10";"27000";"13"
"1000";"'FR21";"24000";"12"
"1000";"'FR22";"23000";"9"
"1000";"'FR23";"23000";"12"
"1000";"'FR24";"45000";"19"
"1000";"'FR25";"20000";"15"
"1000";"'FR26";"34000";"16"
"1000";"'FR30";"36000";"25"
"1000";"'FR41";"22000";"12"
"1000";"'FR42";"14000";"10"
"1000";"'FR43";"12000";"10"
"1000";"'FR51";"23000";"17"
"1000";"'FR52";"18000";"13"
"1000";"'FR53";"19000";"9"
"1000";"'FR61";"33000";"19"
"1000";"'FR62";"40000";"21"
"1000";"'FR63";"7000";"6"
"1000";"'FR71";"29000";"20"
"1000";"'FR72";"20000";"13"
"1000";"'FR81";"37000";"19"
"1000";"'FR82";"53000";"26"
"1000";"'FR83";"4000";"4"
"1000";"'FRJ1";"0";"1"
"1000";"'FRL0";"2000";"1"
"1000";"'HR03";"2000";"2"
"1000";"'IE0";"15000";"16"
"1000";"'ITC1";"35000";"35"
"1000";"'ITC2";"2000";"1"
"1000";"'ITC3";"24000";"8"
"1000";"'ITC4";"83000";"14"
"1000";"'ITF1";"19000";"11"
"1000";"'ITF2";"4000";"3"
"1000";"'ITF3";"81000";"40"
"1000";"'ITF4";"64000";"40"
"1000";"'ITF5";"14000";"13"
"1000";"'ITF6";"21000";"15"
"1000";"'ITG1";"194000";"117"
"1000";"'ITG2";"4000";"5"
"1000";"'ITH1+ITH2";"4000";"3"
"1000";"'ITH3";"58000";"13"
"1000";"'ITH4";"3000";"2"
"1000";"'ITH5";"76000";"13"
"1000";"'ITI1";"50000";"14"
"1000";"'ITI2";"25000";"9"
"1000";"'ITI3";"27000";"12"
"1000";"'ITI4";"65000";"21"
"1000";"'NL11";"1000";"2"
"1000";"'NL12";"3000";"5"
"1000";"'NL13";"0";"2"
"1000";"'NL21";"4000";"4"
"1000";"'NL22";"10000";"9"
"1000";"'NL23";"0";"1"
"1000";"'NL31";"3000";"2"
"1000";"'NL32";"2000";"8"
"1000";"'NL33";"3000";"11"
"1000";"'NL34";"2000";"4"
"1000";"'NL41";"0";"7"
"1000";"'NL42";"4000";"5"
"1000";"'NO01";"0";"1"
"1000";"'NO03";"0";"3"
"1000";"'NO04";"0";"2"
"1000";"'NO05";"1000";"1"
"1000";"'NO06";"1000";"1"
"1000";"'PT11";"24000";"10"
"1000";"'PT15";"11000";"6"
"1000";"'PT16";"20000";"13"
"1000";"'PT17";"18000";"5"
"1000";"'PT18";"15000";"12"
"1000";"'PT30";"0";"1"
"1000";"'SE11";"0";"1"
"1000";"'SE12";"1000";"5"
"1000";"'SE21";"1000";"3"
"1000";"'SE22";"0";"3"
"1000";"'SE23";"0";"1"
"1000";"'SE31";"0";"2"
"1000";"'SI02";"1000";"1"
"1000";"'UKC+UKD";"17000";"39"
"1000";"'UKE";"12000";"14"
"1000";"'UKF";"15000";"11"
"1000";"'UKG";"17000";"26"
"1000";"'UKH+UKJ";"30000";"37"
"1000";"'UKI";"13000";"6"
"1000";"'UKK";"13000";"15"
"1000";"'UKL";"0";"2"
"1000";"'UKM";"4000";"11"
"1000";"'UKM5";"0";"1"
"1000";"'UKN";"7000";"5"
"1100";"'AT11";"1000";"1"
"1100";"'AT123";"13000";"4"
"1100";"'AT21";"0";"1"
"1100";"'AT22";"1000";"1"
"1100";"'AT31";"6000";"5"
"1100";"'AT32";"3000";"1"
"1100";"'AT33";"3000";"2"
"1100";"'AT34";"1000";"1"
"1100";"'BE10+BE24+BE31";"16000";"8"
"1100";"'BE21";"6000";"4"
"1100";"'BE22";"7000";"3"
"1100";"'BE23";"24000";"16"
"1100";"'BE25";"27000";"17"
"1100";"'BE32";"12000";"8"
"1100";"'BE33";"12000";"5"
"1100";"'BE34";"1000";"1"
"1100";"'BE35";"5000";"2"
"1100";"'CH01";"11000";"5"
"1100";"'CH02";"5000";"6"
"1100";"'CH03";"4000";"1"
"1100";"'CH04";"6000";"2"
"1100";"'CH05";"7000";"5"
"1100";"'CH06";"2000";"2"
"1100";"'CH07";"1000";"1"
"1100";"'DE11";"9000";"8"
"1100";"'DE12";"9000";"6"
"1100";"'DE13";"7000";"4"
"1100";"'DE14";"10000";"6"
"1100";"'DE21";"8000";"4"
"1100";"'DE22";"3000";"3"
"1100";"'DE23";"12000";"2"
"1100";"'DE24";"6000";"4"
"1100";"'DE25";"8000";"7"
"1100";"'DE26";"3000";"3"
"1100";"'DE27";"18000";"7"
"1100";"'DE30";"2000";"3"
"1100";"'DE40";"5000";"7"
"1100";"'DE50";"6000";"2"
"1100";"'DE60";"2000";"1"
"1100";"'DE712";"21000";"10"
"1100";"'DE73";"6000";"3"
"1100";"'DE80";"5000";"9"
"1100";"'DE912";"15000";"12"
"1100";"'DE93";"9000";"4"
"1100";"'DE94";"14000";"6"
"1100";"'DEA1";"20000";"22"
"1100";"'DEA2";"39000";"11"
"1100";"'DEA3";"12000";"8"
"1100";"'DEA4";"9000";"5"
"1100";"'DEA5";"13000";"10"
"1100";"'DEB1";"9000";"4"
"1100";"'DEB2";"12000";"2"
"1100";"'DEB3";"18000";"9"
"1100";"'DEC0";"2000";"2"
"1100";"'DED2";"5000";"8"
"1100";"'DED4";"5000";"11"
"1100";"'DED5";"5000";"4"
"1100";"'DEE0";"37000";"18"
"1100";"'DEF0";"9000";"11"
"1100";"'DEG0";"19000";"12"
"1100";"'DK01";"2000";"2"
"1100";"'DK02";"7000";"1"
"1100";"'DK03";"3000";"3"
"1100";"'DK04";"2000";"3"
"1100";"'DK05";"0";"1"
"1100";"'ES11";"23000";"12"
"1100";"'ES12";"8000";"4"
"1100";"'ES13";"4000";"1"
"1100";"'ES21";"5000";"4"
"1100";"'ES22";"11000";"3"
"1100";"'ES23";"9000";"4"
"1100";"'ES24";"29000";"9"
"1100";"'ES30";"9000";"10"
"1100";"'ES41";"105000";"23"
"1100";"'ES42";"68000";"33"
"1100";"'ES43";"52000";"17"
"1100";"'ES51";"56000";"21"
"1100";"'ES52";"60000";"31"
"1100";"'ES53";"15000";"5"
"1100";"'ES61";"394000";"71"
"1100";"'ES62";"45000";"11"
"1100";"'ES70";"0";"4"
"1100";"'FI19";"0";"3"
"1100";"'FI1B";"0";"3"
"1100";"'FI1C";"0";"2"
"1100";"'FI1D";"0";"1"
"1100";"'FR10";"38000";"13"
"1100";"'FR21";"30000";"12"
"1100";"'FR22";"29000";"9"
"1100";"'FR23";"26000";"12"
"1100";"'FR24";"55000";"19"
"1100";"'FR25";"25000";"15"
"1100";"'FR26";"45000";"16"
"1100";"'FR30";"57000";"25"
"1100";"'FR41";"25000";"12"
"1100";"'FR42";"23000";"10"
"1100";"'FR43";"15000";"10"
"1100";"'FR51";"32000";"17"
"1100";"'FR52";"23000";"13"
"1100";"'FR53";"27000";"9"
"1100";"'FR61";"40000";"19"
"1100";"'FR62";"50000";"21"
"1100";"'FR63";"8000";"6"
"1100";"'FR71";"36000";"20"
"1100";"'FR72";"24000";"13"
